SHRP_ID,STATE_CODE,YEAR,HPMS16_CRACKING_PERCENT_JPCC,MEAN_ANN_TEMP_AVG,FREEZE_INDEX_YR,FREEZE_THAW_YR,MAX_ANN_HUM_AVG,MIN_ANN_HUM_AVG,CONSTRUCTION_NO,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND,REPR_THICKNESS
197,48,1990.0,0.0,17.0,67.0,56.0,87.0,40.0,1,654.0,238710.0,10.0
197,48,2000.0,6.0,17.79999924,39.0,58.0,82.0,39.0,1,1089.0,198198.0,10.0
197,48,1998.0,0.0,18.60000038,30.0,47.0,85.0,41.0,1,1297.0,473405.0,10.0
197,48,1996.0,14.0,16.89999962,109.0,72.0,81.0,36.0,1,1252.0,458232.0,10.0
197,48,1991.0,0.0,16.79999924,22.0,59.0,88.0,42.0,1,866.0,316090.0,10.0
197,48,1993.0,11.0,16.10000038,39.0,79.0,90.0,45.0,1,888.0,324120.0,10.0
197,48,1994.0,14.0,16.89999962,38.0,69.0,88.0,42.0,1,889.0,324485.0,10.0
197,48,1990.0,0.0,17.0,67.0,56.0,87.0,40.0,2,654.0,18966.0,10.0
197,48,2000.0,6.0,17.79999924,39.0,58.0,82.0,39.0,2,1089.0,198198.0,10.0
197,48,1998.0,0.0,18.60000038,30.0,47.0,85.0,41.0,2,1297.0,473405.0,10.0
197,48,1996.0,14.0,16.89999962,109.0,72.0,81.0,36.0,2,1252.0,458232.0,10.0
197,48,1991.0,0.0,16.79999924,22.0,59.0,88.0,42.0,2,866.0,316090.0,10.0
197,48,1993.0,11.0,16.10000038,39.0,79.0,90.0,45.0,2,888.0,324120.0,10.0
197,48,1994.0,14.0,16.89999962,38.0,69.0,88.0,42.0,2,889.0,324485.0,10.0
198,48,1990.0,0.0,17.0,67.0,56.0,87.0,40.0,1,654.0,238710.0,10.0
198,48,2000.0,0.0,17.79999924,39.0,58.0,82.0,39.0,1,1089.0,198198.0,10.0
198,48,1998.0,0.0,18.60000038,30.0,47.0,85.0,41.0,1,1297.0,473405.0,10.0
198,48,1996.0,6.0,16.89999962,109.0,72.0,81.0,36.0,1,1252.0,458232.0,10.0
198,48,1991.0,0.0,16.79999924,22.0,59.0,88.0,42.0,1,866.0,316090.0,10.0
198,48,1993.0,6.0,16.10000038,39.0,79.0,90.0,45.0,1,888.0,324120.0,10.0
198,48,1994.0,6.0,16.89999962,38.0,69.0,88.0,42.0,1,889.0,324485.0,10.0
201,48,1992.0,88.0,20.5,0.0,7.0,96.0,54.0,1,186.0,68076.0,11.39999962
201,48,1991.0,88.0,20.5,0.0,8.0,95.0,55.0,1,90.0,32850.0,11.39999962
201,48,1998.0,88.0,21.70000076,0.0,3.0,96.0,52.0,1,358.0,130670.0,11.39999962
201,48,2000.0,88.0,21.20000076,0.0,7.0,96.0,49.0,1,397.0,145302.0,11.39999962
201,48,1995.0,88.0,20.79999924,0.0,7.0,95.0,52.0,1,226.0,82490.0,11.39999962
201,48,1990.0,76.0,21.20000076,7.0,8.0,94.0,51.0,1,155.0,56575.0,11.39999962
201,48,1993.0,88.0,20.20000076,0.0,12.0,94.0,52.0,1,214.0,78110.0,11.39999962
221,48,1992.0,0.0,18.10000038,2.0,33.0,97.0,52.0,1,200.0,73200.0,9.600000381000001
221,48,1990.0,0.0,19.5,13.0,23.0,97.0,49.0,1,318.0,116070.0,9.600000381000001
221,48,2000.0,0.0,19.79999924,1.0,25.0,92.0,48.0,1,478.0,174948.0,9.600000381000001
221,48,1995.0,0.0,18.5,0.0,30.0,96.0,51.0,1,536.0,195640.0,9.600000381000001
221,48,1993.0,0.0,17.60000038,0.0,38.0,96.0,52.0,1,477.0,174105.0,9.600000381000001
221,48,1991.0,0.0,18.89999962,0.0,37.0,96.0,54.0,1,301.0,109865.0,9.600000381000001
221,48,1992.0,0.0,18.10000038,2.0,33.0,97.0,52.0,2,200.0,73200.0,9.600000381000001
221,48,1990.0,0.0,19.5,13.0,23.0,97.0,49.0,2,318.0,6678.0,9.600000381000001
221,48,2000.0,0.0,19.79999924,1.0,25.0,92.0,48.0,2,478.0,174948.0,9.600000381000001
221,48,1995.0,0.0,18.5,0.0,30.0,96.0,51.0,2,536.0,195640.0,9.600000381000001
221,48,1993.0,0.0,17.60000038,0.0,38.0,96.0,52.0,2,477.0,174105.0,9.600000381000001
221,48,1991.0,0.0,18.89999962,0.0,37.0,96.0,54.0,2,301.0,109865.0,9.600000381000001
222,48,1992.0,0.0,18.10000038,2.0,33.0,97.0,52.0,1,200.0,73200.0,9.600000381000001
222,48,1991.0,0.0,18.89999962,0.0,37.0,96.0,54.0,1,301.0,109865.0,9.600000381000001
222,48,1990.0,0.0,19.5,13.0,23.0,97.0,49.0,1,318.0,116070.0,9.600000381000001
222,48,2000.0,0.0,19.79999924,1.0,25.0,92.0,48.0,1,478.0,174948.0,9.600000381000001
222,48,1995.0,0.0,18.5,0.0,30.0,96.0,51.0,1,536.0,195640.0,9.600000381000001
222,48,1993.0,0.0,17.60000038,0.0,38.0,96.0,52.0,1,477.0,174105.0,9.600000381000001
199,48,1992.0,53.0,20.5,0.0,7.0,96.0,54.0,1,186.0,68076.0,11.39999962
199,48,1991.0,53.0,20.5,0.0,8.0,95.0,55.0,1,90.0,32850.0,11.39999962
199,48,1998.0,53.0,21.70000076,0.0,3.0,96.0,52.0,1,358.0,130670.0,11.39999962
199,48,1990.0,47.0,21.20000076,7.0,8.0,94.0,51.0,1,155.0,56575.0,11.39999962
199,48,2000.0,53.0,21.20000076,0.0,7.0,96.0,49.0,1,397.0,145302.0,11.39999962
199,48,1995.0,53.0,20.79999924,0.0,7.0,95.0,52.0,1,226.0,82490.0,11.39999962
199,48,1993.0,53.0,20.20000076,0.0,12.0,94.0,52.0,1,214.0,78110.0,11.39999962
199,48,1992.0,53.0,20.5,0.0,7.0,96.0,54.0,2,186.0,68076.0,11.39999962
199,48,1991.0,53.0,20.5,0.0,8.0,95.0,55.0,2,90.0,32850.0,11.39999962
199,48,1998.0,53.0,21.70000076,0.0,3.0,96.0,52.0,2,358.0,130670.0,11.39999962
199,48,1990.0,47.0,21.20000076,7.0,8.0,94.0,51.0,2,155.0,4495.0,11.39999962
199,48,2000.0,53.0,21.20000076,0.0,7.0,96.0,49.0,2,397.0,145302.0,11.39999962
199,48,1995.0,53.0,20.79999924,0.0,7.0,95.0,52.0,2,226.0,82490.0,11.39999962
199,48,1993.0,53.0,20.20000076,0.0,12.0,94.0,52.0,2,214.0,78110.0,11.39999962
200,48,1992.0,100.0,20.5,0.0,7.0,96.0,54.0,1,186.0,68076.0,11.39999962
200,48,1991.0,100.0,20.5,0.0,8.0,95.0,55.0,1,90.0,32850.0,11.39999962
200,48,1998.0,100.0,21.70000076,0.0,3.0,96.0,52.0,1,358.0,130670.0,11.39999962
200,48,1990.0,100.0,21.20000076,7.0,8.0,94.0,51.0,1,155.0,56575.0,11.39999962
200,48,2000.0,100.0,21.20000076,0.0,7.0,96.0,49.0,1,397.0,145302.0,11.39999962
200,48,1995.0,100.0,20.79999924,0.0,7.0,95.0,52.0,1,226.0,82490.0,11.39999962
200,48,1993.0,100.0,20.20000076,0.0,12.0,94.0,52.0,1,214.0,78110.0,11.39999962
200,48,1992.0,100.0,20.5,0.0,7.0,96.0,54.0,2,186.0,68076.0,11.39999962
200,48,1991.0,100.0,20.5,0.0,8.0,95.0,55.0,2,90.0,32850.0,11.39999962
200,48,1998.0,100.0,21.70000076,0.0,3.0,96.0,52.0,2,358.0,130670.0,11.39999962
200,48,1990.0,100.0,21.20000076,7.0,8.0,94.0,51.0,2,155.0,4495.0,11.39999962
200,48,2000.0,100.0,21.20000076,0.0,7.0,96.0,49.0,2,397.0,145302.0,11.39999962
200,48,1995.0,100.0,20.79999924,0.0,7.0,95.0,52.0,2,226.0,82490.0,11.39999962
200,48,1993.0,100.0,20.20000076,0.0,12.0,94.0,52.0,2,214.0,78110.0,11.39999962
220,48,1992.0,0.0,18.10000038,2.0,33.0,97.0,52.0,1,200.0,73200.0,9.600000381000001
220,48,1991.0,0.0,18.89999962,0.0,37.0,96.0,54.0,1,301.0,109865.0,9.600000381000001
220,48,1990.0,0.0,19.5,13.0,23.0,97.0,49.0,1,318.0,116070.0,9.600000381000001
220,48,2000.0,0.0,19.79999924,1.0,25.0,92.0,48.0,1,478.0,174948.0,9.600000381000001
220,48,1995.0,0.0,18.5,0.0,30.0,96.0,51.0,1,536.0,195640.0,9.600000381000001
220,48,1993.0,0.0,17.60000038,0.0,38.0,96.0,52.0,1,477.0,174105.0,9.600000381000001
220,48,1992.0,0.0,18.10000038,2.0,33.0,97.0,52.0,2,200.0,73200.0,9.600000381000001
220,48,1991.0,0.0,18.89999962,0.0,37.0,96.0,54.0,2,301.0,109865.0,9.600000381000001
220,48,1990.0,0.0,19.5,13.0,23.0,97.0,49.0,2,318.0,6360.0,9.600000381000001
220,48,2000.0,0.0,19.79999924,1.0,25.0,92.0,48.0,2,478.0,174948.0,9.600000381000001
220,48,1995.0,0.0,18.5,0.0,30.0,96.0,51.0,2,536.0,195640.0,9.600000381000001
220,48,1993.0,0.0,17.60000038,0.0,38.0,96.0,52.0,2,477.0,174105.0,9.600000381000001
195,5,1991.0,0.0,16.89999962,13.0,66.0,93.0,47.0,1,1110.0,405150.0,9.300000191
195,5,1997.0,0.0,16.0,50.0,48.0,95.0,53.0,1,604.0,220460.0,9.300000191
195,5,1994.0,0.0,16.60000038,35.0,56.0,91.0,48.0,1,477.0,174105.0,9.300000191
195,5,1991.0,0.0,16.89999962,13.0,66.0,93.0,47.0,2,1110.0,344100.0,9.300000191
195,5,1997.0,0.0,16.0,50.0,48.0,95.0,53.0,2,604.0,220460.0,9.300000191
195,5,1994.0,0.0,16.60000038,35.0,56.0,91.0,48.0,2,477.0,174105.0,9.300000191
198,5,1991.0,0.0,16.89999962,13.0,66.0,93.0,47.0,1,1110.0,405150.0,9.300000191
198,5,1997.0,0.0,16.0,50.0,48.0,95.0,53.0,1,604.0,220460.0,9.300000191
198,5,1994.0,0.0,16.60000038,35.0,56.0,91.0,48.0,1,477.0,174105.0,9.300000191
182,5,1991.0,0.0,17.60000038,6.0,41.0,93.0,51.0,1,716.0,261340.0,9.399999618999999
182,5,1994.0,0.0,17.10000038,26.0,37.0,93.0,52.0,1,809.0,295285.0,9.399999618999999
175,5,1991.0,0.0,17.60000038,6.0,41.0,93.0,51.0,1,716.0,261340.0,9.399999618999999
175,5,1994.0,0.0,17.10000038,26.0,37.0,93.0,52.0,1,809.0,295285.0,9.399999618999999
175,5,1991.0,0.0,17.60000038,6.0,41.0,93.0,51.0,2,716.0,200480.0,9.399999618999999
175,5,1994.0,0.0,17.10000038,26.0,37.0,93.0,52.0,2,809.0,295285.0,9.399999618999999
21,40,1992.0,0.0,16.0,13.0,53.0,90.0,49.0,1,479.0,175314.0,8.899999618999999
21,40,1991.0,0.0,16.5,34.0,57.0,87.0,45.0,1,561.0,204765.0,8.899999618999999
21,40,1997.0,0.0,15.5,59.0,61.0,91.0,49.0,1,1855.0,677075.0,8.899999618999999
21,40,2002.0,0.0,15.30000019,50.0,73.0,91.0,50.0,1,1618.0,590570.0,8.899999618999999
21,40,1999.0,0.0,16.79999924,25.0,46.0,87.0,45.0,1,1508.0,550420.0,8.899999618999999
21,40,2004.0,0.0,16.10000038,55.0,58.0,90.0,47.0,1,1373.0,502518.0,8.899999618999999
21,40,1994.0,0.0,15.89999962,61.0,71.0,91.0,46.0,1,1287.0,469755.0,8.899999618999999
123,5,1991.0,0.0,16.89999962,18.0,50.0,93.0,51.0,1,820.0,299300.0,9.699999809
123,5,1991.0,3.0,16.89999962,18.0,50.0,93.0,51.0,1,820.0,299300.0,9.699999809
123,5,1998.0,3.0,17.39999962,21.0,39.0,94.0,54.0,1,1329.0,485085.0,9.699999809
123,5,1994.0,0.0,15.0,57.0,61.0,93.0,52.0,1,886.0,323390.0,9.699999809
123,5,1991.0,0.0,16.89999962,18.0,50.0,93.0,51.0,2,820.0,190240.0,9.699999809
123,5,1991.0,3.0,16.89999962,18.0,50.0,93.0,51.0,2,820.0,190240.0,9.699999809
123,5,1998.0,3.0,17.39999962,21.0,39.0,94.0,54.0,2,1329.0,485085.0,9.699999809
123,5,1994.0,0.0,15.0,57.0,61.0,93.0,52.0,2,886.0,323390.0,9.699999809
85,12,2008.0,37.0,21.89999962,0.0,1.0,87.0,50.0,1,460.0,168360.0,8.0
85,12,2000.0,29.0,21.5,0.0,4.0,95.0,52.0,1,327.0,119682.0,8.0
85,12,1991.0,17.0,22.29999924,0.0,2.0,95.0,56.0,1,165.0,60225.0,8.0
85,12,1991.0,17.0,22.29999924,0.0,2.0,95.0,56.0,1,165.0,60225.0,8.0
85,12,1997.0,25.0,22.0,0.0,2.0,97.0,56.0,1,299.0,109135.0,8.0
85,12,2006.0,26.0,22.0,0.0,3.0,87.0,46.0,1,434.0,158410.0,8.0
