STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND
26,Michigan,0224,1,2005,3314,1209610
26,Michigan,0224,1,2006,3240,1182600
26,Michigan,0224,1,2007,3197,1166905
26,Michigan,0224,1,2008,3056,1118496
26,Michigan,0224,1,2009,2635,961775
26,Michigan,0224,1,2010,2873,1048645
26,Michigan,0224,1,2011,2788,1017620
26,Michigan,0224,1,2012,2988,1093608
26,Michigan,0224,1,2013,3186,3186
1,Alabama,0101,1,1991,0,0
1,Alabama,0101,1,1992,0,0
1,Alabama,0101,1,1993,731,223686
1,Alabama,0101,1,1994,753,274845
1,Alabama,0101,1,1995,775,282875
1,Alabama,0101,1,1996,798,292068
1,Alabama,0101,1,1997,822,300030
1,Alabama,0101,1,1998,847,309155
1,Alabama,0101,1,1999,872,318280
1,Alabama,0101,1,2000,899,329034
1,Alabama,0101,1,2001,925,337625
1,Alabama,0101,1,2002,953,347845
1,Alabama,0101,1,2003,982,358430
1,Alabama,0101,1,2004,1011,370026
1,Alabama,0101,1,2005,1042,172972
1,Alabama,0102,1,1991,0,0
1,Alabama,0102,1,1992,0,0
1,Alabama,0102,1,1993,731,223686
1,Alabama,0102,1,1994,753,274845
1,Alabama,0102,1,1995,775,282875
1,Alabama,0102,1,1996,798,292068
1,Alabama,0102,1,1997,822,300030
1,Alabama,0102,1,1998,847,309155
1,Alabama,0102,1,1999,872,318280
1,Alabama,0102,1,2000,899,329034
1,Alabama,0102,1,2001,925,337625
1,Alabama,0102,1,2002,953,347845
1,Alabama,0102,1,2003,982,358430
1,Alabama,0102,1,2004,1011,370026
1,Alabama,0102,1,2005,1042,172972
1,Alabama,0102,2,2003,982,254338
1,Alabama,0102,2,2004,1011,370026
1,Alabama,0102,2,2005,1042,172972
1,Alabama,0103,1,1991,0,0
1,Alabama,0103,1,1992,0,0
1,Alabama,0103,1,1993,731,223686
1,Alabama,0103,1,1994,753,274845
1,Alabama,0103,1,1995,775,282875
1,Alabama,0103,1,1996,798,292068
1,Alabama,0103,1,1997,822,300030
1,Alabama,0103,1,1998,847,309155
1,Alabama,0103,1,1999,872,318280
1,Alabama,0103,1,2000,899,329034
1,Alabama,0103,1,2001,925,337625
1,Alabama,0103,1,2002,953,347845
1,Alabama,0103,1,2003,982,358430
1,Alabama,0103,1,2004,1011,370026
1,Alabama,0103,1,2005,1042,172972
1,Alabama,0104,1,1991,0,0
1,Alabama,0104,1,1992,0,0
1,Alabama,0104,1,1993,731,223686
1,Alabama,0104,1,1994,753,274845
1,Alabama,0104,1,1995,775,282875
1,Alabama,0104,1,1996,798,292068
1,Alabama,0104,1,1997,822,300030
1,Alabama,0104,1,1998,847,309155
1,Alabama,0104,1,1999,872,318280
1,Alabama,0104,1,2000,899,329034
1,Alabama,0104,1,2001,925,337625
1,Alabama,0104,1,2002,953,347845
1,Alabama,0104,1,2003,982,358430
1,Alabama,0104,1,2004,1011,370026
1,Alabama,0104,1,2005,1042,172972
1,Alabama,0105,1,1991,0,0
1,Alabama,0105,1,1992,0,0
1,Alabama,0105,1,1993,731,223686
1,Alabama,0105,1,1994,753,274845
1,Alabama,0105,1,1995,775,282875
1,Alabama,0105,1,1996,798,292068
1,Alabama,0105,1,1997,822,300030
1,Alabama,0105,1,1998,847,309155
1,Alabama,0105,1,1999,872,318280
1,Alabama,0105,1,2000,899,329034
1,Alabama,0105,1,2001,925,337625
1,Alabama,0105,1,2002,953,347845
1,Alabama,0105,1,2003,982,358430
1,Alabama,0105,1,2004,1011,370026
1,Alabama,0105,1,2005,1042,172972
1,Alabama,0106,1,1991,0,0
1,Alabama,0106,1,1992,0,0
1,Alabama,0106,1,1993,731,223686
1,Alabama,0106,1,1994,753,274845
1,Alabama,0106,1,1995,775,282875
1,Alabama,0106,1,1996,798,292068
1,Alabama,0106,1,1997,822,300030
1,Alabama,0106,1,1998,847,309155
1,Alabama,0106,1,1999,872,318280
1,Alabama,0106,1,2000,899,329034
1,Alabama,0106,1,2001,925,337625
1,Alabama,0106,1,2002,953,347845
1,Alabama,0106,1,2003,982,358430
1,Alabama,0106,1,2004,1011,370026
1,Alabama,0106,1,2005,1042,172972
1,Alabama,0107,1,1991,0,0
1,Alabama,0107,1,1992,0,0
1,Alabama,0107,1,1993,731,223686
1,Alabama,0107,1,1994,753,274845
1,Alabama,0107,1,1995,775,282875
1,Alabama,0107,1,1996,798,292068
1,Alabama,0107,1,1997,822,300030
1,Alabama,0107,1,1998,847,309155
1,Alabama,0107,1,1999,872,318280
1,Alabama,0107,1,2000,899,329034
1,Alabama,0107,1,2001,925,215525
1,Alabama,0107,2,2001,925,303400
1,Alabama,0108,1,1991,0,0
1,Alabama,0108,1,1992,0,0
1,Alabama,0108,1,1993,731,223686
1,Alabama,0108,1,1994,753,274845
1,Alabama,0108,1,1995,775,282875
1,Alabama,0108,1,1996,798,292068
1,Alabama,0108,1,1997,822,300030
1,Alabama,0108,1,1998,847,309155
1,Alabama,0108,1,1999,872,318280
1,Alabama,0108,1,2000,899,329034
1,Alabama,0108,1,2001,925,337625
1,Alabama,0108,1,2002,953,347845
1,Alabama,0108,1,2003,982,358430
1,Alabama,0108,1,2004,1011,370026
1,Alabama,0108,1,2005,1042,172972
1,Alabama,0109,1,1991,0,0
1,Alabama,0109,1,1992,0,0
1,Alabama,0109,1,1993,731,223686
1,Alabama,0109,1,1994,753,274845
1,Alabama,0109,1,1995,775,282875
1,Alabama,0109,1,1996,798,292068
1,Alabama,0109,1,1997,822,300030
1,Alabama,0109,1,1998,847,309155
1,Alabama,0109,1,1999,872,318280
1,Alabama,0109,1,2000,899,329034
1,Alabama,0109,1,2001,925,337625
1,Alabama,0109,1,2002,953,347845
1,Alabama,0109,1,2003,982,358430
1,Alabama,0109,1,2004,1011,370026
1,Alabama,0109,1,2005,1042,172972
1,Alabama,0110,1,1991,0,0
1,Alabama,0110,1,1992,0,0
1,Alabama,0110,1,1993,731,223686
1,Alabama,0110,1,1994,753,274845
1,Alabama,0110,1,1995,775,282875
1,Alabama,0110,1,1996,798,292068
1,Alabama,0110,1,1997,822,300030
1,Alabama,0110,1,1998,847,309155
1,Alabama,0110,1,1999,872,318280
1,Alabama,0110,1,2000,899,329034
1,Alabama,0110,1,2001,925,337625
1,Alabama,0110,1,2002,953,347845
1,Alabama,0110,1,2003,982,358430
1,Alabama,0110,1,2004,1011,370026
1,Alabama,0110,1,2005,1042,172972
1,Alabama,0111,1,1991,0,0
1,Alabama,0111,1,1992,0,0
1,Alabama,0111,1,1993,731,223686
1,Alabama,0111,1,1994,753,274845
1,Alabama,0111,1,1995,775,282875
1,Alabama,0111,1,1996,798,292068
1,Alabama,0111,1,1997,822,300030
1,Alabama,0111,1,1998,847,309155
1,Alabama,0111,1,1999,872,318280
1,Alabama,0111,1,2000,899,329034
