STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,CN_ASSIGN_DATE,CN_CHANGE_REASON,CN_CHANGE_REASON_EXP,GPS_SPS,GPS_SPS_EXP,EXPERIMENT_NO,EXPERIMENT_NO_EXP,STATUS_EXP,STATUS,ASSIGN_DATE,DEASSIGN_DATE,SEAS_ID,SUPPLEMENTAL,RECORD_STATUS,EXP_SECT_RS,BASIC_INFO_RS,PAV_STRUCT_RS,TRAFFIC_RS,CLIMATIC_RS
1,Alabama,1001,2,06/01/1993,19,Asphalt Concrete Overlay,G,General Pavement Studies,6B,"AC Overlay with Conventional Asphalt Cement on AC Pavement, No Milling",Out-of-study,O,06/01/1993,10/31/2003,,,E,E,E,E,E,E
1,Alabama,1011,1,01/01/1987,,,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,01/01/1987,06/25/2002,,,E,E,E,E,E,E
1,Alabama,1019,1,01/01/1987,,,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,01/01/1987,06/07/1998,,,E,E,E,E,E,E
1,Alabama,1019,2,06/07/1998,55,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,06/07/1998,06/15/2004,,,E,E,E,E,E,E
1,Alabama,1021,1,01/01/1987,,,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,01/01/1987,01/15/2000,,,E,E,E,E,E,E
1,Alabama,3028,1,01/01/1987,,,G,General Pavement Studies,3,Jointed Plain Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,06/30/2017,,,E,E,E,E,E,E
1,Alabama,3998,1,01/01/1987,,,G,General Pavement Studies,5,Continuously Reinforced Concrete Pavement (CRCP),Out-of-study,O,01/01/1987,08/01/1991,,,E,E,E,E,E,E
1,Alabama,3998,2,06/15/1988,05,,G,General Pavement Studies,5,Continuously Reinforced Concrete Pavement (CRCP),Out-of-study,O,01/01/1987,08/01/1991,,,E,E,E,E,E,E
1,Alabama,4007,1,01/01/1987,,,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,08/01/2016,,,E,E,E,E,E,E
1,Alabama,4073,1,05/31/1988,,,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,05/31/1988,04/01/2004,,,E,E,E,E,E,E
1,Alabama,4084,1,01/01/1987,,,G,General Pavement Studies,4,Jointed Reinforced Concrete Pavement (JPCP),Out-of-study,O,01/01/1987,06/15/2005,,,E,E,E,E,E,E
1,Alabama,4125,1,01/01/1987,,,G,General Pavement Studies,2,Asphalt Concrete on Bound Base,Out-of-study,O,01/01/1987,06/15/2005,,,E,E,E,E,E,E
1,Alabama,4126,1,05/31/1988,,,G,General Pavement Studies,1,Asphalt Concrete on Unbound Granular Base,Out-of-study,O,05/31/1988,09/01/2000,,,E,E,E,E,E,E
1,Alabama,4127,1,01/01/1987,,,G,General Pavement Studies,1,Asphalt Concrete on Unbound Granular Base,Out-of-study,O,01/01/1987,06/20/1989,,,E,E,E,E,E,E
1,Alabama,4127,2,06/20/1989,"19, 31",,G,General Pavement Studies,6B,"AC Overlay with Conventional Asphalt Cement on AC Pavement, No Milling",Out-of-study,O,06/20/1989,03/15/2007,,,E,E,E,E,E,E
1,Alabama,4129,1,01/01/1987,,,G,General Pavement Studies,1,Asphalt Concrete on Unbound Granular Base,Out-of-study,O,01/01/1987,06/01/1989,,,E,E,E,E,E,E
1,Alabama,4129,2,06/01/1989,19,Asphalt Concrete Overlay,G,General Pavement Studies,6B,"AC Overlay with Conventional Asphalt Cement on AC Pavement, No Milling",Out-of-study,O,06/01/1989,09/05/1997,,,E,E,E,E,E,E
1,Alabama,4155,1,01/01/1987,,,G,General Pavement Studies,1,Asphalt Concrete on Unbound Granular Base,Out-of-study,O,01/01/1987,03/31/1999,,,E,E,E,E,E,E
1,Alabama,4155,2,03/31/1999,55,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,G,General Pavement Studies,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,Out-of-study,O,03/31/1999,06/30/2017,,,E,E,E,E,E,E
