STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,OTHER,SURVEY_WIDTH,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183
29,Missouri,0902,04/14/2004,4,28.39999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.1000061,183,122,0,0,0,4,13,0,6,45.79999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,85.80000305,48.79999924
55,Wisconsin,C901,06/13/2007,1,5.400000095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.30000305,127.5999985,68.90000153,0,0,0,1,0,0,0.899999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,53.29999924,0
55,Wisconsin,C959,06/13/2007,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,"STARTING SIGNS OF FATIGUE IN O.S. WHEELPATH, TOO SMALL TO RATE",3.700000048,2.700000048,0
55,Wisconsin,C902,06/13/2007,1,9.399999619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0,0,0,6,1,0,4.599999905,3.700000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"STARTING SIGNS OF FATIGUE IN O.S. WHEELPATH, TOO SMALL TO RATE",3.700000048,39.20000076,3.700000048
55,Wisconsin,C903,06/13/2007,1,1.100000024,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,132.8000031,45.79999924,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,13.80000019,0
55,Wisconsin,C960,06/13/2007,1,7.5,48.5,258.1000061,0,0,0,0,0,0,0,0,7.699999809,0,0,0,31,66.80000305,93.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,304.7999878,0
17,Illinois,0660,10/19/2004,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.29999924,137.3000031,0,0,0,0,10,3,0,37,11.10000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,0,48.09999847
19,Iowa,0604,10/27/2004,5,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,152.5,0,0,0,326,3,1,196.3000031,5.099999905,1.700000048,0,0,0,3,1,1,29.60000038,0.200000003,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,"REVIEWED AND UPDATED DURING D-61 PROCESS, JAN 2016.",3.700000048,281,91.80000305
46,South Dakota,0607,09/14/2004,6,0,0,0,0,0,0,0,0,0,38.90000153,0,0,0,0,0,160.6999969,3.5,0,0,0,0,18,0,0,16.60000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,CHIP SEAL,3.700000048,38.90000153,0
46,South Dakota,0661,09/14/2004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,4.599999905,0,0,0,0,6,1,0,4.300000191,0.899999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,CHIP SEAL TREATMENT,3.700000048,0,0
46,South Dakota,0606,09/16/2004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.3000031,15.19999981,0,0,0,0,6,2,0,9.300000191,3.700000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.700000048,0,9.100000381
46,South Dakota,0603,09/16/2004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.1999969,0,0,0,0,0,7,4,0,7.699999809,5.099999905,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.059999999,0,0,0,,,,0,0,,3.700000048,0,6
46,South Dakota,0604,09/16/2004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.5,0,0,0,0,0,7,0,0,14.19999981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.700000048,0,10.69999981
46,South Dakota,0601,09/16/2004,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.70000076,0,0,0,0,0,12,0,0,21.79999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.599999905,0,13.30000019
46,South Dakota,0662,09/14/2004,5,2.900000095,0,0,0,0,0,0,0,0,3,0,0,0,0,0,116.5,44,0,0,0,0,19,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,CHIP SEAL TREATMENT,3.700000048,13.39999962,0
46,South Dakota,0660,09/13/2004,6,0,0,0,0,0,0,0,0,0,9.199999809,0,0,0,0,0,59.40000153,40.70000076,8,0,0,0,1,0,0,3.099999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,CHIP SEAL,3.700000048,9.199999809,3.099999905
46,South Dakota,0608,09/13/2004,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.3000031,43,10.39999962,0,0,0,1,0,1,3.700000048,0,0.800000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,CHIP SEAL,3.700000048,0,3.700000048
83,Manitoba,3802,04/25/2003,3,0,0,0,0,0,0,152.5,0,0,0,0,0,0,0,0,152.5,0,0,0,0,0,24,1,0,80.90000153,3.599999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OVERLAYED SINCE PREVIOUS SURVEY,3.599999905,0,84.5
27,Minnesota,1003,08/16/1998,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,115.1999969,0,0,0,0,0,10,2,0,34.59999847,7.199999809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11.5,,3.799999952,0.5,41.09999847
27,Minnesota,1004,06/16/1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORE PATCH AT MIDLANE AT 1+99 IS SLIGHTLY HEAVED UP AREA,3.599999905,0,0
