STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP
6,California,7455,12/17/1991,0,0
6,California,7455,04/14/1998,0,0
6,California,7455,03/17/1999,0,0
6,California,7455,06/27/2000,0,0
19,Iowa,0701,04/06/1999,5,0
19,Iowa,0701,08/23/1993,1,0
19,Iowa,0702,04/06/1999,0,0
19,Iowa,0702,08/26/1992,0,0
19,Iowa,0702,08/24/1993,0,0
19,Iowa,0702,06/01/2009,1,0
19,Iowa,0703,04/06/1999,1,0
19,Iowa,0703,08/26/1992,0,0
19,Iowa,0703,08/24/1993,1,0
19,Iowa,0703,06/01/2009,1,0
19,Iowa,0704,04/09/1999,0,0
19,Iowa,0704,07/08/1992,15,0
19,Iowa,0704,08/26/1992,0,0
19,Iowa,0704,08/26/1993,0,0
19,Iowa,0704,06/03/2009,2,0
19,Iowa,0705,04/09/1999,0,0
19,Iowa,0705,07/08/1992,3,0
19,Iowa,0705,08/26/1992,0,0
19,Iowa,0705,08/26/1993,0,0
19,Iowa,0705,06/03/2009,1,0
19,Iowa,0706,04/08/1999,0,0
19,Iowa,0706,07/08/1992,1,0
19,Iowa,0706,08/26/1992,0,0
19,Iowa,0706,08/26/1993,0,0
19,Iowa,0706,06/02/2009,2,0
19,Iowa,0707,04/08/1999,0,0
19,Iowa,0707,07/08/1992,13,0
19,Iowa,0707,08/26/1992,0,0
19,Iowa,0707,08/25/1993,0,0
19,Iowa,0707,06/02/2009,3,0
19,Iowa,0708,04/07/1999,0,0
19,Iowa,0708,08/26/1992,1,0
19,Iowa,0708,08/25/1993,0,0
19,Iowa,0708,06/02/2009,2,0
19,Iowa,0709,04/07/1999,0,0
19,Iowa,0709,08/26/1992,0,0
19,Iowa,0709,08/24/1993,0,0
19,Iowa,0709,06/01/2009,1,0
19,Iowa,0759,04/07/1999,0,0
19,Iowa,0759,08/26/1992,0,0
19,Iowa,0759,08/25/1993,0,0
19,Iowa,0759,06/02/2009,6,0
22,Louisiana,0702,04/02/1992,7,21
22,Louisiana,0702,03/18/1997,0,0
22,Louisiana,0702,12/08/1992,1,0
22,Louisiana,0702,07/12/1994,0,0
22,Louisiana,0703,04/02/1992,0,0
22,Louisiana,0703,03/18/1997,0,0
22,Louisiana,0703,12/08/1992,0,0
22,Louisiana,0703,07/12/1994,0,0
22,Louisiana,0704,04/02/1992,0,0
22,Louisiana,0704,03/18/1997,0,0
22,Louisiana,0704,07/12/1994,0,0
22,Louisiana,0704,12/08/1992,0,0
22,Louisiana,0705,04/03/1992,0,0
22,Louisiana,0705,03/18/1997,0,0
22,Louisiana,0705,07/12/1994,0,0
22,Louisiana,0705,12/08/1992,0,0
22,Louisiana,0706,04/03/1992,0,0
22,Louisiana,0706,03/19/1997,0,0
22,Louisiana,0706,07/12/1994,1,32
22,Louisiana,0706,12/09/1992,0,0
22,Louisiana,0707,04/03/1992,0,0
22,Louisiana,0707,03/19/1997,1,32
22,Louisiana,0707,07/12/1994,1,32
22,Louisiana,0707,12/09/1992,0,0
22,Louisiana,0708,12/09/1992,0,0
22,Louisiana,0708,04/03/1992,0,0
22,Louisiana,0708,03/19/1997,1,0
22,Louisiana,0708,07/12/1994,1,0
22,Louisiana,0709,04/02/1992,0,0
22,Louisiana,0709,03/19/1997,4,0
22,Louisiana,0709,07/12/1994,,0
22,Louisiana,0709,12/09/1992,4,0
27,Minnesota,0701,05/23/2005,5,32
27,Minnesota,0701,07/10/1995,,21
27,Minnesota,0701,08/16/1993,1,0
27,Minnesota,0702,05/24/2005,0,0
27,Minnesota,0702,06/03/1992,0,0
27,Minnesota,0702,07/11/1995,0,0
27,Minnesota,0702,10/28/1998,0,0
27,Minnesota,0702,08/17/1993,0,0
27,Minnesota,0703,05/26/2005,0,0
27,Minnesota,0703,06/03/1992,0,0
27,Minnesota,0703,07/11/1995,0,0
27,Minnesota,0703,10/28/1998,0,0
27,Minnesota,0703,08/17/1993,0,0
27,Minnesota,0704,08/17/1993,0,0
27,Minnesota,0704,06/01/2005,1,0
27,Minnesota,0704,06/04/1992,0,0
27,Minnesota,0704,07/11/1995,1,0
27,Minnesota,0704,10/29/1998,0,0
27,Minnesota,0705,08/18/1993,0,0
27,Minnesota,0705,06/01/2005,0,0
27,Minnesota,0705,06/04/1992,0,0
27,Minnesota,0705,07/12/1995,0,0
27,Minnesota,0706,08/18/1993,0,0
27,Minnesota,0706,06/02/2005,,0
27,Minnesota,0706,06/04/1992,0,0
27,Minnesota,0706,07/12/1995,0,0
27,Minnesota,0707,08/18/1993,0,0
27,Minnesota,0707,06/02/2005,11,0
27,Minnesota,0707,06/04/1992,0,0
27,Minnesota,0707,07/12/1995,1,0
27,Minnesota,0708,08/19/1993,0,0
27,Minnesota,0708,06/03/2005,3,11
27,Minnesota,0708,06/02/1992,0,0
27,Minnesota,0708,07/13/1995,1,11
27,Minnesota,0709,08/19/1993,0,0
27,Minnesota,0709,06/03/2005,0,0
27,Minnesota,0709,07/13/1995,1,0
27,Minnesota,0759,08/19/1993,0,0
27,Minnesota,0759,07/13/1995,1,0
27,Minnesota,0759,06/02/1992,0,0
27,Minnesota,0759,06/03/2005,1,0
48,Texas,3845,10/22/2009,1,0
48,Texas,3845,12/02/2003,1,0
48,Texas,3845,06/20/1991,0,0
48,Texas,3845,08/05/1993,0,0
48,Texas,3845,04/14/1998,0,0
48,Texas,3845,01/22/2001,1,0
48,Texas,3845,09/27/2012,1,0
48,Texas,3845,06/03/2014,1,0
48,Texas,3845,04/25/2017,1,0
48,Texas,3719,04/29/1993,0,0
48,Texas,3719,07/24/2003,0,0
48,Texas,3719,04/01/1992,0,0
48,Texas,3719,05/14/1998,1,0
48,Texas,3719,08/30/2000,1,0
48,Texas,3719,06/08/1995,0,0
48,Texas,3719,07/09/1991,0,0
18,Indiana,5022,06/25/1991,1,0
31,Nebraska,5052,04/19/1993,0,0
48,Texas,5026,08/13/2009,0,0
48,Texas,5026,05/06/2002,0,0
48,Texas,5026,04/27/1993,0,0
48,Texas,5026,07/08/1991,0,0
48,Texas,5026,04/28/2005,0,0
48,Texas,5026,05/12/1998,0,0
48,Texas,5026,05/18/1999,0,0
48,Texas,5026,06/28/2012,0,0
48,Texas,5026,06/06/1995,0,0
48,Texas,5026,08/10/2015,1,0
48,Texas,5336,05/17/1993,0,0
48,Texas,5336,09/30/2009,30,0
48,Texas,5336,06/24/2002,5,0
48,Texas,5336,06/10/1991,0,0
48,Texas,5336,05/12/1997,1,0
48,Texas,5336,06/15/1999,4,0
48,Texas,5336,03/13/2012,24,275
48,Texas,5336,08/08/1995,1,0
48,Texas,5336,06/05/2014,22,412
48,Texas,5336,06/09/2016,32,348
10,Delaware,5005,11/23/1992,9,0
19,Iowa,5046,08/30/1994,0,0
19,Iowa,5046,09/30/1999,1,0
19,Iowa,5046,02/28/2002,1,0
