STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,DURAB_CRACK_NO_L,DURAB_CRACK_NO_M,DURAB_CRACK_NO_H,DURAB_CRACK_A_L,DURAB_CRACK_A_M,DURAB_CRACK_A_H,LONG_CRACK_L_L,LONG_CRACK_L_M,LONG_CRACK_L_H,LONG_CRACK_SEAL_L_L,LONG_CRACK_SEAL_L_M,LONG_CRACK_SEAL_L_H,TRANS_CRACK_TOTAL_NO,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,MAP_CRACK_NO,MAP_CRACK_A,SCALING_NO,SCALING_A,POLISH_AGG_A,BLOWUPS_NO,CONST_JOINT_NO_L,CONST_JOINT_NO_M,CONST_JOINT_NO_H,PATCH_FLEX_NO_L,PATCH_FLEX_NO_M,PATCH_FLEX_NO_H,PATCH_FLEX_A_L,PATCH_FLEX_A_M,PATCH_FLEX_A_H,PATCH_RIGID_NO_L,PATCH_RIGID_NO_M,PATCH_RIGID_NO_H,PATCH_RIGID_A_L,PATCH_RIGID_A_M,PATCH_RIGID_A_H,PUNCHOUTS_NO_L,PUNCHOUTS_NO_M,PUNCHOUTS_NO_H,LONG_SPALLING_L_L,LONG_SPALLING_L_M,LONG_SPALLING_L_H,PUMPING_NO,PUMPING_L,LONG_JT_SEAL_NO,LONG_JT_SEAL_DAM_L,OTHER,SURVEY_WIDTH
28,Mississippi,5025,11/07/2012,1,0,0,0,0,0,0,0,0,0,0,0,0,174,150,24,0,539.2000122,88.40000153,0,0,0,6,105.8000031,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,1.5,0,4,4,1,152.5,,3.700000048
48,Texas,5283,08/03/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,71,54,17,0,180,61.20000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.599999905
48,Texas,3779,08/15/2012,1,0,0,0,0,0,0,23,0,0,0,0,0,150,39,105,6,140.1999969,385.7999878,22.20000076,1,564.2999878,0,0,152.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,152.5,,3.700000048
28,Mississippi,5803,11/29/1995,2,0,0,0,0,0,0,0.300000012,0,0,0,0,0,124,106,18,0,381.5,67.59999847,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,2,0,0,1,0,0,0,2,0,9.399999619,0.699999988,0.5,0,0,0,0,,3.599999905
48,Texas,5274,02/11/1997,2,0,0,0,0,0,0,0,0,0,0,0,0,75,64,11,0,234.1000061,42.29999924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,86,,3.700000048
48,Texas,5283,02/13/1997,1,0,0,0,0,0,0,0,0,0,0,0,0,117,115,2,0,417.3999939,7.300000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,3.599999905
48,Texas,5284,02/13/1997,1,0,0,0,0,0,0,0,0,0,0,0,0,83,78,5,0,282.3999939,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14.39999962,2,15,,3.700000048
28,Mississippi,5006,11/16/1995,2,0,0,0,0,0,0,0,0,0,0,0,0,164,164,0,0,675.5999756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.5999985,0,0,0,0,0,0,,3.599999905
48,Texas,5334,08/11/1995,1,0,0,0,0,0,0,0,0,0,0,0,0,219,219,0,0,741.2999878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,3.799999952
48,Texas,5335,08/10/1995,1,0,0,0,0,0,0,4,0,0,0,0,0,209,175,34,0,628.4000244,121.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,,3.799999952
