STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_CRACKING_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC
13,Georgia,0505,02/13/2002,1,0,0,142
13,Georgia,0506,02/13/2002,0,0,0,0
13,Georgia,0507,02/13/2002,0,0,0,0
13,Georgia,0508,02/13/2002,0,0,0,0
13,Georgia,0509,02/18/2002,1,0,0,132
13,Georgia,0560,02/14/2002,0,0,0,0
13,Georgia,0561,02/14/2002,0,0,0,0
13,Georgia,0562,02/14/2002,0,0,0,0
13,Georgia,0563,02/14/2002,0,0,0,0
13,Georgia,0564,02/14/2002,0,0,0,0
13,Georgia,0565,02/14/2002,0,0,0,0
13,Georgia,0566,02/14/2002,0,0,0,0
48,Texas,1122,03/06/2002,1,0,31,52
48,Texas,1130,03/06/2002,0,0,0,0
48,Texas,1094,03/04/2002,0,0,0,0
48,Texas,3855,03/08/2002,0,0,17,0
48,Texas,9005,03/04/2002,1,0,52,0
48,Texas,1096,03/05/2002,0,0,0,0
48,Texas,0901,03/07/2002,1,0,0,0
48,Texas,0902,03/07/2002,0,0,0,0
48,Texas,0903,03/07/2002,0,0,0,0
48,Texas,0113,02/13/2002,19,2,0,0
48,Texas,0114,02/13/2002,0,0,0,0
48,Texas,0115,02/11/2002,0,0,0,0
48,Texas,0116,02/11/2002,0,0,0,0
48,Texas,0117,02/12/2002,7,1,0,0
48,Texas,0118,02/12/2002,9,1,0,0
48,Texas,0119,02/14/2002,0,0,0,0
48,Texas,0120,02/14/2002,0,0,0,0
48,Texas,0121,02/14/2002,0,0,0,0
48,Texas,0122,02/12/2002,13,1,69,0
48,Texas,0123,02/12/2002,0,0,0,0
40,Oklahoma,0118,08/23/2004,4,1,0,0
40,Oklahoma,0119,08/24/2004,8,1,10,0
40,Oklahoma,0120,08/24/2004,20,2,149,0
40,Oklahoma,0121,08/24/2004,18,3,423,0
40,Oklahoma,0122,08/24/2004,12,2,166,0
40,Oklahoma,0123,08/24/2004,10,2,0,0
40,Oklahoma,0124,08/24/2004,3,0,0,0
40,Oklahoma,0160,08/23/2004,0,0,0,0
5,Arkansas,0803,09/13/2004,0,0,0,0
40,Oklahoma,0501,08/11/2003,0,0,405,0
40,Oklahoma,0502,08/11/2003,0,0,780,0
40,Oklahoma,0503,08/11/2003,1,0,440,0
40,Oklahoma,0504,08/12/2003,1,0,104,0
40,Oklahoma,0505,08/12/2003,0,0,651,0
40,Oklahoma,0506,08/11/2003,0,0,575,0
40,Oklahoma,0507,08/12/2003,0,0,0,0
28,Mississippi,0805,08/26/2003,0,0,0,0
28,Mississippi,0806,08/26/2003,11,4,0,0
48,Texas,0113,11/11/2003,0,0,0,0
48,Texas,0114,11/12/2003,0,0,0,0
48,Texas,0115,11/10/2003,0,0,0,0
48,Texas,0116,11/10/2003,0,0,0,0
48,Texas,0117,11/11/2003,0,0,0,0
48,Texas,0118,11/11/2003,0,0,0,0
48,Texas,0119,11/12/2003,0,0,0,0
48,Texas,0120,11/12/2003,0,0,0,0
48,Texas,0121,11/12/2003,0,0,0,0
48,Texas,0122,11/11/2003,0,0,0,0
48,Texas,0123,11/11/2003,0,0,0,0
48,Texas,0124,11/10/2003,0,0,0,0
48,Texas,0160,11/13/2003,0,0,0,0
6,California,A310,10/25/1995,0,0,1029,0
6,California,A311,10/26/1995,0,0,173,0
6,California,A320,10/24/1995,7,0,2630,1334
6,California,A330,10/25/1995,7,1,3780,977
6,California,A340,10/25/1995,8,5,3953,194
6,California,A350,10/25/1995,3,0,2751,565
6,California,A351,10/26/1995,4,0,2817,825
53,Washington,1801,10/31/1995,2,0,4306,776
53,Washington,C330,10/31/1995,6,0,2179,2339
53,Washington,C350,10/31/1995,2,0,1057,381
30,Montana,0806,09/07/1995,1,0,0,170
4,Arizona,0261,12/09/2004,18,4,908,0
4,Arizona,0508,12/07/2004,2,0,4587,457
4,Arizona,0507,12/07/2004,0,0,132,0
4,Arizona,0506,12/08/2004,2,0,1632,0
4,Arizona,0505,12/08/2004,43,45,3943,146
4,Arizona,0504,12/07/2004,1,0,1379,0
4,Arizona,0503,12/07/2004,18,1,5096,3523
4,Arizona,0113,11/08/1995,0,0,0,0
4,Arizona,0114,11/07/1995,0,0,0,0
53,Washington,0801,11/13/1995,0,0,0,0
53,Washington,0802,11/13/1995,0,0,0,0
4,Arizona,0113,08/17/1995,0,0,0,0
4,Arizona,0114,08/17/1995,0,0,0,0
81,Alberta,0501,08/30/1995,5,0,149,1670
81,Alberta,0502,08/31/1995,12,7,641,637
81,Alberta,0503,08/31/1995,12,1,24,2955
81,Alberta,0504,08/31/1995,4,0,17,1604
81,Alberta,0505,08/30/1995,6,0,24,2467
81,Alberta,0506,08/30/1995,2,0,55,579
81,Alberta,0507,08/30/1995,1,0,0,433
81,Alberta,0508,08/31/1995,11,0,0,3153
81,Alberta,0509,08/31/1995,7,2,0,1497
30,Montana,0805,09/07/1995,0,0,0,0
4,Arizona,B901,05/16/1995,0,0,0,0
4,Arizona,B902,05/16/1995,0,0,0,0
4,Arizona,B903,05/16/1995,0,0,0,0
4,Arizona,B959,05/16/1995,0,0,0,0
4,Arizona,B960,05/16/1995,0,0,0,0
4,Arizona,B961,05/16/1995,0,0,0,0
4,Arizona,B964,05/16/1995,0,0,0,0
4,Arizona,1024,08/22/1995,7,0,423,2675
8,Colorado,1029,09/08/1995,3,3,3042,90
81,Alberta,1805,08/25/1995,0,0,0,0
8,Colorado,1047,09/07/1995,0,0,1767,0
4,Arizona,1024,11/09/1995,6,0,610,2307
81,Alberta,8529,08/23/1993,0,0,0,0
16,Idaho,C320,10/24/1990,1,0,1954,94
16,Idaho,C310,10/24/1990,0,0,0,0
16,Idaho,C310,08/12/1991,0,0,2397,0
16,Idaho,C320,08/12/1991,1,0,1878,87
16,Idaho,C330,08/12/1991,0,0,1531,0
30,Montana,0560,05/18/1991,8,6,3000,236
49,Utah,B310,07/29/1993,1,0,104,87
49,Utah,B320,07/29/1993,7,1,5890,1195
49,Utah,B330,07/29/1993,2,0,9666,482
49,Utah,B350,07/29/1993,13,7,6669,970
49,Utah,B351,07/29/1993,7,0,6628,1303
49,Utah,B352,07/29/1993,2,0,3534,644
49,Utah,B361,07/29/1993,1,0,398,52
49,Utah,B390,07/29/1993,54,54,0,0
6,California,0502,09/24/1992,0,0,0,0
6,California,0501,09/24/1992,0,0,0,0
6,California,A352,06/02/1991,1,0,665,35
4,Arizona,0604,09/24/1991,0,0,8620,0
6,California,A351,06/10/1991,0,0,1521,0
4,Arizona,0903,04/14/2005,54,73,1961,121
4,Arizona,0163,04/13/2005,1,0,0,0
6,California,0566,09/25/1992,0,0,0,0
6,California,0565,09/25/1992,0,0,0,0
6,California,0564,09/25/1992,0,0,0,0
6,California,0563,09/25/1992,0,0,0,0
6,California,0562,09/25/1992,0,0,0,0
6,California,0561,09/25/1992,0,0,0,0
6,California,0560,09/25/1992,0,0,0,0
6,California,0509,09/24/1992,0,0,0,0
6,California,0508,09/24/1992,0,0,0,0
6,California,0507,09/24/1992,0,0,0,0
6,California,0506,09/24/1992,0,0,0,0
6,California,0505,09/24/1992,0,0,0,0
6,California,A311,06/11/1991,0,0,52,0
6,California,A310,06/11/1991,1,0,644,62
4,Arizona,0603,09/21/1994,0,0,3298,0
4,Arizona,0604,09/20/1994,0,0,8523,0
4,Arizona,0606,09/20/1994,0,0,2397,0
4,Arizona,0607,09/19/1994,0,0,1126,0
4,Arizona,0608,09/19/1994,0,0,21,0
4,Arizona,0659,09/20/1994,0,0,1033,0
4,Arizona,0660,09/19/1994,1,0,308,35
4,Arizona,0661,09/20/1994,0,0,296,0
4,Arizona,0662,09/20/1994,1,0,2660,287
4,Arizona,0664,09/21/1994,0,0,0,0
4,Arizona,0665,09/21/1994,0,0,0,0
4,Arizona,0666,09/21/1994,0,0,0,0
4,Arizona,0667,09/21/1994,0,0,0,0
4,Arizona,0668,09/21/1994,0,0,385,0
4,Arizona,0669,09/21/1994,0,0,0,0
4,Arizona,0501,10/20/1994,54,46,0,0
4,Arizona,0502,10/19/1994,8,0,2463,1438
4,Arizona,0503,10/18/1994,0,0,0,0
4,Arizona,0504,10/18/1994,0,0,0,0
4,Arizona,0505,10/20/1994,3,3,49,0
4,Arizona,0506,10/20/1994,0,0,0,0
4,Arizona,0507,10/18/1994,0,0,0,0
4,Arizona,0508,10/19/1994,0,0,0,0
4,Arizona,0509,10/19/1994,0,0,579,0
4,Arizona,0559,10/20/1994,0,0,0,0
4,Arizona,0560,10/20/1994,0,0,0,0
6,California,0501,10/24/1994,0,0,333,0
4,Arizona,0659,09/24/1991,0,0,430,0
4,Arizona,0660,09/23/1991,0,0,0,0
4,Arizona,0607,09/24/1991,0,0,561,0
4,Arizona,0608,09/24/1991,0,0,0,0
4,Arizona,0606,09/24/1991,0,0,1427,0
4,Arizona,0603,09/25/1991,0,0,1670,0
30,Montana,0504,05/17/1991,36,33,3042,423
30,Montana,0505,05/16/1991,8,5,1441,35
16,Idaho,A330,10/25/1990,0,0,0,0
16,Idaho,1020,10/25/1990,0,0,0,0
8,Colorado,B310,05/06/1991,3,0,2262,572
30,Montana,0507,05/17/1991,37,25,2145,1459
49,Utah,C361,07/15/1991,0,0,0,0
6,California,0603,10/07/1992,0,0,0,0
6,California,0604,10/08/1992,0,0,7948,0
8,Colorado,0506,05/03/1991,11,7,852,665
16,Idaho,B310,10/24/1990,0,0,0,0
16,Idaho,B320,10/24/1990,0,0,0,0
16,Idaho,B330,10/24/1990,0,0,0,0
16,Idaho,1021,10/24/1990,0,0,0,0
22,Louisiana,0114,10/20/2004,0,0,0,0
22,Louisiana,0115,10/20/2004,0,0,0,0
22,Louisiana,0116,10/20/2004,0,0,0,0
22,Louisiana,0117,10/20/2004,0,0,0,0
22,Louisiana,0118,10/19/2004,0,0,0,0
22,Louisiana,0119,10/19/2004,0,0,0,0
12,Florida,4106,01/20/2005,0,0,0,0
72,Puerto Rico,1003,02/12/1993,54,69,0,0
72,Puerto Rico,4122,02/11/1993,0,0,0,0
40,Oklahoma,4165,11/05/1992,1,0,139,52
40,Oklahoma,4088,10/11/1991,13,4,,
40,Oklahoma,4164,11/05/1992,5,0,3672,1802
40,Oklahoma,4164,10/14/1991,4,0,,
40,Oklahoma,4087,11/06/1992,0,0,0,322
40,Oklahoma,1017,11/03/1992,21,6,741,1344
40,Oklahoma,4086,11/05/1992,1,0,1195,173
40,Oklahoma,4086,10/14/1991,1,0,,
40,Oklahoma,1017,10/09/1991,12,3,,
35,New Mexico,2118,03/27/1991,0,0,128,0
35,New Mexico,6033,03/28/1991,28,0,,5443
35,New Mexico,6401,03/26/1991,15,3,,
35,New Mexico,2006,03/26/1991,0,0,0,0
35,New Mexico,1002,03/28/1991,0,0,0,0
35,New Mexico,1005,03/26/1991,0,0,0,0
35,New Mexico,1022,03/26/1991,0,0,0,0
28,Mississippi,7012,03/06/1991,0,0,2914,0
28,Mississippi,3093,03/07/1991,0,0,0,0
28,Mississippi,3094,03/07/1991,0,0,0,0
28,Mississippi,3097,03/05/1991,9,7,,
28,Mississippi,3091,03/07/1991,0,0,1289,0
28,Mississippi,3087,03/05/1991,16,8,,360
28,Mississippi,3089,03/05/1991,0,0,2228,0
28,Mississippi,3090,03/05/1991,21,26,4552,
28,Mississippi,3085,03/05/1991,8,1,,1171
28,Mississippi,2807,03/05/1991,21,7,,0
28,Mississippi,3081,03/04/1991,8,4,0,0
28,Mississippi,3083,03/05/1991,0,0,0,0
13,Georgia,4420,11/05/1993,0,0,87,0
48,Texas,9005,08/26/1991,15,1,104,3042
48,Texas,9005,10/10/1990,13,2,94,
48,Texas,9005,03/27/1991,12,0,,
1,Alabama,0161,04/29/2005,55,17,243,0
1,Alabama,0162,04/28/2005,21,3,0,0
1,Alabama,0163,04/27/2005,40,11,24,0
47,Tennessee,1023,06/07/2005,3,1,527,0
48,Texas,0114,12/01/2005,1,0,0,0
48,Texas,0115,11/30/2005,0,0,0,0
48,Texas,0116,11/30/2005,1,0,0,0
48,Texas,0117,11/30/2005,0,0,0,0
48,Texas,0118,12/01/2005,0,0,0,0
48,Texas,6179,11/05/1991,0,0,,0
48,Texas,3855,05/15/1991,7,2,,0
48,Texas,6079,06/10/1991,14,0,,
48,Texas,6160,11/05/1991,13,1,,
48,Texas,3835,12/09/1991,0,0,,0
48,Texas,3739,04/09/1991,1,0,0,
48,Texas,3769,06/13/1991,0,0,1881,0
48,Texas,3769,12/13/1990,0,0,1479,0
48,Texas,3739,08/30/1991,1,0,0,
48,Texas,3729,04/09/1991,8,0,0,
48,Texas,3729,03/18/1992,13,0,,
48,Texas,3739,03/18/1992,6,1,0,
48,Texas,3689,05/13/1991,31,0,,
48,Texas,3629,05/15/1991,0,0,,0
48,Texas,3669,05/13/1991,10,0,,
48,Texas,3679,05/13/1991,7,0,,
48,Texas,3629,06/07/1990,0,0,0,0
48,Texas,2176,11/05/1991,53,6,,
48,Texas,3609,11/07/1991,18,28,,
48,Texas,2172,12/13/1990,0,0,0,0
48,Texas,1183,09/25/1990,0,0,,0
48,Texas,2108,07/07/1991,10,0,,
48,Texas,2172,05/31/1991,0,0,,0
48,Texas,1183,03/07/1991,1,1,,0
48,Texas,1178,05/28/1991,3,0,,
48,Texas,1181,04/11/1991,23,0,,
