STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC
48,Texas,C420,12/03/1990,0,3
48,Texas,C430,12/03/1990,0,0
48,Texas,D430,04/02/1992,88,
48,Texas,E420,04/03/1992,0,
48,Texas,E430,04/03/1992,0,
48,Texas,D410,04/02/1992,53,
48,Texas,D420,04/02/1992,100,
48,Texas,E410,04/03/1992,0,
48,Texas,E430,07/11/1991,0,
48,Texas,D410,07/10/1991,53,
48,Texas,D420,07/10/1991,100,
48,Texas,D430,07/10/1991,88,
48,Texas,E410,07/11/1991,0,
48,Texas,E410,06/28/1990,0,
48,Texas,E420,06/28/1990,0,
48,Texas,E430,06/28/1990,0,
28,Mississippi,A430,09/11/1991,0,
40,Oklahoma,A410,10/16/1991,0,0
40,Oklahoma,A420,10/16/1991,0,0
40,Oklahoma,A430,10/16/1991,0,0
28,Mississippi,A410,09/11/1991,0,
5,Arkansas,C410,09/09/1991,0,
5,Arkansas,C430,09/09/1991,0,
28,Mississippi,A410,05/13/1991,0,
28,Mississippi,A430,05/14/1991,0,
5,Arkansas,B430,09/11/1991,0,
5,Arkansas,B410,09/11/1991,0,
40,Oklahoma,3018,11/02/1992,0,0
5,Arkansas,A410,09/10/1991,0,
12,Florida,4138,12/10/2008,37,44
12,Florida,4000,12/10/2008,0,0
5,Arkansas,0214,12/01/2008,0,0
5,Arkansas,0215,12/01/2008,0,0
5,Arkansas,0216,12/03/2008,0,0
5,Arkansas,0217,12/02/2008,3,21
5,Arkansas,0218,12/02/2008,79,117
13,Georgia,3020,03/31/2009,0,0
5,Arkansas,0219,12/02/2008,0,0
5,Arkansas,0220,12/02/2008,0,0
5,Arkansas,0221,12/03/2008,6,6
12,Florida,4109,05/12/2009,0,0
5,Arkansas,0223,12/01/2008,0,0
5,Arkansas,0224,12/02/2008,0,0
5,Arkansas,0222,12/01/2008,0,0
5,Arkansas,A601,12/05/2008,0,0
5,Arkansas,A602,12/05/2008,0,13
5,Arkansas,A605,12/04/2008,0,0
13,Georgia,3011,05/13/2009,0,0
13,Georgia,3015,05/13/2009,0,0
48,Texas,3010,08/13/2009,0,0
48,Texas,A807,08/11/2009,0,0
48,Texas,A808,08/11/2009,0,0
35,New Mexico,3010,10/01/2009,3,3
48,Texas,9167,10/28/2009,0,
40,Oklahoma,4157,11/19/2009,0,0
40,Oklahoma,4160,11/18/2009,0,0
12,Florida,4057,03/03/2010,0,6
40,Oklahoma,0601,03/23/2010,69,
40,Oklahoma,0602,03/23/2010,57,
28,Mississippi,7012,02/17/2010,0,
28,Mississippi,9030,02/17/2010,0,
48,Texas,9355,09/10/2010,0,0
40,Oklahoma,0605,03/24/2010,71,
28,Mississippi,3018,11/04/2010,0,0
28,Mississippi,3019,11/05/2010,0,0
28,Mississippi,4024,11/08/2010,0,
5,Arkansas,3011,12/09/2010,0,0
5,Arkansas,4021,12/08/2010,6,
5,Arkansas,0215,12/10/2010,0,0
5,Arkansas,0216,12/14/2010,0,0
5,Arkansas,0217,12/13/2010,12,27
5,Arkansas,0218,12/13/2010,85,120
5,Arkansas,0220,12/14/2010,0,0
5,Arkansas,0221,12/14/2010,6,6
5,Arkansas,0222,12/10/2010,0,0
5,Arkansas,0223,12/10/2010,0,0
5,Arkansas,0224,12/14/2010,0,0
5,Arkansas,0809,12/11/2010,0,0
5,Arkansas,0810,12/11/2010,0,0
5,Arkansas,0214,12/10/2010,0,0
5,Arkansas,0219,12/13/2010,0,0
48,Texas,4146,02/01/2011,0,
48,Texas,4143,02/02/2011,0,
48,Texas,A807,05/18/2001,0,0
48,Texas,A808,05/18/2001,0,0
48,Texas,C420,04/27/2000,6,9
48,Texas,C430,04/27/2000,0,0
45,South Carolina,3012,07/18/2001,0,0
13,Georgia,3020,10/26/1994,0,0
12,Florida,4138,02/10/2000,29,24
47,Tennessee,0601,07/24/2001,0,10
47,Tennessee,0602,07/23/2001,5,5
47,Tennessee,0605,07/23/2001,4,2
5,Arkansas,0213,07/31/2001,0,0
5,Arkansas,0214,07/24/2001,0,0
5,Arkansas,0215,07/23/2001,0,0
5,Arkansas,0216,07/30/2001,0,0
5,Arkansas,0217,07/26/2001,3,6
5,Arkansas,0218,07/25/2001,61,90
5,Arkansas,0219,07/25/2001,0,0
5,Arkansas,0220,07/26/2001,0,0
5,Arkansas,0221,07/31/2001,0,0
5,Arkansas,0222,07/24/2001,0,0
5,Arkansas,0223,07/24/2001,0,0
5,Arkansas,0224,07/30/2001,0,0
5,Arkansas,4021,09/20/2001,6,
40,Oklahoma,0601,09/17/2001,23,
5,Arkansas,4023,02/03/1999,0,
5,Arkansas,0809,08/01/2001,0,0
5,Arkansas,0810,08/01/2001,0,0
40,Oklahoma,0602,09/17/2001,54,
40,Oklahoma,0605,09/17/2001,46,
5,Arkansas,A601,08/08/2001,0,0
5,Arkansas,A602,08/08/2001,0,0
5,Arkansas,A605,08/07/2001,0,4
48,Texas,A807,12/14/2001,0,0
49,Utah,E448,09/24/1991,0,0
49,Utah,E449,09/24/1991,0,0
49,Utah,E451,09/24/1991,0,0
49,Utah,E452,09/24/1991,0,0
49,Utah,E440,07/10/1991,0,0
49,Utah,C410,01/27/1992,0,3
49,Utah,C440,01/27/1992,0,0
49,Utah,C441,01/27/1992,0,0
49,Utah,E431,09/24/1991,0,0
6,California,B441,12/04/1991,44,
49,Utah,C458,07/27/1993,3,3
49,Utah,D440,07/14/1993,0,0
49,Utah,C431,07/27/1993,0,4
4,Arizona,0601,09/26/1991,30,60
49,Utah,E410,07/08/1993,0,0
49,Utah,E430,07/08/1993,0,0
49,Utah,E431,07/12/1993,0,0
49,Utah,E440,07/08/1993,0,0
49,Utah,E441,07/08/1993,0,0
49,Utah,E443,07/08/1993,0,0
49,Utah,E444,07/08/1993,0,0
49,Utah,E445,07/08/1993,0,0
49,Utah,E446,07/08/1993,0,0
49,Utah,E448,07/12/1993,0,0
49,Utah,E449,07/12/1993,0,0
49,Utah,E450,07/12/1993,0,0
49,Utah,E451,07/12/1993,0,0
49,Utah,E452,07/12/1993,0,0
49,Utah,E454,07/12/1993,0,0
49,Utah,E455,07/12/1993,0,0
49,Utah,E456,07/09/1993,18,17
49,Utah,E458,07/09/1993,13,13
49,Utah,E459,07/09/1993,3,3
49,Utah,E460,07/09/1993,0,0
49,Utah,E461,07/08/1993,0,0
49,Utah,E462,07/09/1993,0,0
49,Utah,C457,07/27/1993,0,2
49,Utah,C456,07/27/1993,10,10
49,Utah,C455,07/27/1993,0,0
49,Utah,C454,07/27/1993,0,0
49,Utah,C453,07/27/1993,0,0
49,Utah,C452,07/27/1993,0,0
49,Utah,C451,07/27/1993,0,0
49,Utah,C450,07/27/1993,0,0
49,Utah,C449,07/27/1993,0,0
49,Utah,C448,07/27/1993,0,0
49,Utah,C447,07/22/1993,0,3
49,Utah,C446,07/22/1993,0,0
49,Utah,C445,07/22/1993,0,0
49,Utah,C444,07/22/1993,0,0
49,Utah,C443,07/22/1993,3,3
49,Utah,C441,07/21/1993,0,0
49,Utah,D462,07/19/1993,0,0
49,Utah,D461,07/14/1993,13,16
49,Utah,D460,07/19/1993,0,0
49,Utah,D455,07/19/1993,0,0
49,Utah,D454,07/19/1993,0,0
49,Utah,D452,07/19/1993,0,0
49,Utah,D451,07/19/1993,0,0
49,Utah,3011,10/15/1996,0,0
32,Nevada,7084,08/12/1996,0,
49,Utah,E450,10/06/1999,0,0
49,Utah,E448,10/06/1999,0,0
49,Utah,E449,10/06/1999,0,0
49,Utah,E462,10/06/1999,0,0
49,Utah,E459,10/06/1999,3,3
49,Utah,E410,10/05/1999,0,0
49,Utah,E443,10/05/1999,0,0
49,Utah,E441,10/05/1999,0,0
49,Utah,E458,10/05/1999,15,15
49,Utah,E430,10/05/1999,0,0
49,Utah,E444,10/05/1999,0,0
49,Utah,E446,10/05/1999,0,0
49,Utah,E440,10/05/1999,0,0
49,Utah,E445,10/05/1999,0,0
49,Utah,E460,10/06/1999,0,0
32,Nevada,0204,11/18/1999,12,66
49,Utah,7085,10/04/1999,13,25
49,Utah,7083,10/14/1999,59,83
49,Utah,3011,10/07/1999,0,6
49,Utah,3010,10/20/1999,38,42
49,Utah,C447,04/26/1999,0,3
49,Utah,C452,04/27/1999,0,0
49,Utah,C431,04/27/1999,0,4
49,Utah,C451,04/27/1999,0,0
49,Utah,C449,04/27/1999,0,0
49,Utah,C450,04/27/1999,0,0
49,Utah,C444,04/26/1999,0,0
49,Utah,C445,04/26/1999,0,0
53,Washington,3019,04/06/1999,0,0
53,Washington,7409,04/05/1999,2,2
49,Utah,C448,04/27/1999,0,0
49,Utah,C446,04/26/1999,0,0
49,Utah,C456,04/27/1999,10,10
49,Utah,C457,04/27/1999,0,5
49,Utah,C458,04/27/1999,3,3
49,Utah,C440,04/26/1999,0,0
49,Utah,C441,04/26/1999,0,0
49,Utah,C410,04/26/1999,0,0
49,Utah,C430,04/26/1999,2,4
49,Utah,C443,04/26/1999,3,3
32,Nevada,A430,04/19/1999,19,25
49,Utah,7082,04/23/1999,0,0
53,Washington,0203,04/22/1999,0,0
53,Washington,0259,04/22/1999,0,0
53,Washington,0209,04/26/1999,0,0
53,Washington,0210,04/26/1999,0,0
53,Washington,0211,04/26/1999,0,0
53,Washington,0205,04/28/1999,0,9
53,Washington,0204,04/28/1999,0,0
53,Washington,0202,04/22/1999,0,0
53,Washington,0212,04/26/1999,0,0
53,Washington,0201,04/28/1999,0,0
53,Washington,0208,04/29/1999,0,0
53,Washington,0207,04/29/1999,0,0
53,Washington,0206,04/29/1999,6,6
53,Washington,3014,04/07/1999,0,0
32,Nevada,3010,04/15/1999,6,6
4,Arizona,7613,03/09/1995,0,0
6,California,7493,03/20/2000,0,0
53,Washington,3014,04/27/2000,0,0
4,Arizona,0213,03/15/2000,0,0
4,Arizona,0214,03/14/2000,0,0
6,California,3042,06/20/1996,0,0
53,Washington,3813,08/28/1996,9,15
6,California,3042,08/26/1996,6,12
6,California,3042,04/11/1996,3,9
53,Washington,3813,04/17/1996,9,9
32,Nevada,3010,10/10/1996,6,6
6,California,3010,01/28/1997,0,0
6,California,3013,02/11/1997,5,5
6,California,3017,02/14/1997,0,0
6,California,3019,01/31/1997,3,3
6,California,3021,01/21/1997,3,3
6,California,3024,02/13/1997,0,0
6,California,3030,03/18/1997,6,31
6,California,3042,07/25/1996,0,0
6,California,7493,01/30/1997,0,0
6,California,9048,01/29/1997,13,21
6,California,A410,01/17/1997,10,9
6,California,A411,01/24/1997,7,6
6,California,A412,01/27/1997,6,6
6,California,A420,01/24/1997,0,0
6,California,A421,01/27/1997,22,21
6,California,A422,01/27/1997,0,0
6,California,A430,01/17/1997,10,9
6,California,A423,01/27/1997,0,0
6,California,A441,01/27/1997,0,0
6,California,A442,01/27/1997,0,0
6,California,A443,01/27/1997,0,0
32,Nevada,0204,03/12/1997,3,57
49,Utah,3011,03/05/1997,0,3
49,Utah,3011,03/17/1997,0,0
32,Nevada,0204,04/17/1997,6,45
53,Washington,0210,05/20/1997,0,0
53,Washington,0259,05/20/1997,0,0
53,Washington,0212,05/21/1997,0,0
53,Washington,3014,04/17/1997,0,0
53,Washington,7409,04/15/1997,0,2
53,Washington,0211,05/21/1997,0,0
53,Washington,0209,05/21/1997,0,0
53,Washington,0208,05/22/1997,0,0
53,Washington,0206,05/22/1997,6,6
49,Utah,D450,07/19/1993,0,0
49,Utah,D449,07/19/1993,0,0
49,Utah,D448,07/19/1993,0,0
49,Utah,D446,07/14/1993,3,3
49,Utah,D445,07/14/1993,0,0
49,Utah,D444,07/13/1993,0,0
49,Utah,D443,07/13/1993,0,0
49,Utah,D441,07/13/1993,0,0
49,Utah,D431,07/19/1993,0,0
49,Utah,D430,07/13/1993,0,0
49,Utah,D410,07/13/1993,0,0
49,Utah,C440,07/21/1993,0,0
49,Utah,C410,07/21/1993,0,0
49,Utah,C430,07/21/1993,3,4
