STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CRACK_OR_JOINT,CRACK_OR_JOINT_EXP,CONSTRUCTION_NO,AVG_EDGE_FAULT,AVG_WHEELPATH_FAULT
4,Arizona,0222,12/12/2016,C,Crack,1,0,-0.100000001
13,Georgia,3015,05/05/2016,J,Joint,2,2.400000095,2.5
4,Arizona,0264,12/15/2016,C,Crack,2,0,
6,California,3017,01/15/2016,C,Crack,3,0,-0.400000006
39,Ohio,0212,05/25/2016,C,Crack,7,0.699999988,0.699999988
19,Iowa,0218,08/22/2016,C,Crack,3,1.299999952,1.700000048
19,Iowa,0219,08/23/2016,J,Joint,2,0.300000012,0.200000003
38,North Dakota,0217,06/05/2018,J,Joint,11,0.5,0.699999988
38,North Dakota,0214,06/05/2018,J,Joint,8,0.200000003,0.200000003
39,Ohio,0203,05/26/2016,J,Joint,2,0,0.200000003
53,Washington,0206,03/24/2016,C,Crack,1,0.300000012,0
55,Wisconsin,6352,04/27/2016,C,Crack,4,,0
39,Ohio,0208,05/26/2016,J,Joint,4,0.300000012,0.400000006
53,Washington,0211,03/21/2016,J,Joint,1,0.400000006,0.899999976
4,Arizona,0214,12/10/2015,C,Crack,1,3,3
4,Arizona,0220,12/14/2015,J,Joint,1,-0.100000001,0
4,Arizona,0267,12/16/2015,J,Joint,2,0.100000001,0.200000003
53,Washington,0204,04/11/2017,J,Joint,1,0.200000003,0.400000006
53,Washington,0206,04/13/2017,C,Crack,1,0.699999988,0.899999976
53,Washington,0212,03/23/2016,J,Joint,1,-0.100000001,-0.100000001
4,Arizona,0213,12/15/2015,J,Joint,3,0.400000006,0.699999988
42,Pennsylvania,C430,10/17/1991,C,Crack,1,2,2
37,North Carolina,3011,04/23/1993,J,Joint,1,0.899999976,0.699999988
10,Delaware,1201,06/23/1992,J,Joint,1,1,0.5
10,Delaware,1201,06/18/1991,J,Joint,1,0.5,0.400000006
54,West Virginia,4004,11/14/1991,J,Joint,1,0.5,0.100000001
42,Pennsylvania,1690,10/01/1991,J,Joint,2,0.699999988,0.300000012
42,Pennsylvania,1627,10/03/1991,J,Joint,1,0,0
42,Pennsylvania,C410,04/07/1993,C,Crack,2,1,2
36,New York,4017,07/31/1991,C,Crack,1,1.100000024,1.299999952
42,Pennsylvania,C430,10/07/1993,J,Joint,1,0.600000024,0.899999976
42,Pennsylvania,C410,10/07/1993,J,Joint,2,0.699999988,0.699999988
37,North Carolina,0206,05/12/1994,J,Joint,1,0.400000006,0.200000003
37,North Carolina,0211,05/14/1994,J,Joint,1,-0.200000003,-0.300000012
42,Pennsylvania,9027,10/08/1991,J,Joint,2,-0.100000001,0
89,Quebec,9018,07/16/1991,J,Joint,1,1.799999952,1.799999952
89,Quebec,3001,07/15/1991,J,Joint,2,2.5,2.700000048
23,Maine,3013,08/15/1991,J,Joint,1,0.100000001,0
37,North Carolina,3008,01/31/1996,J,Joint,1,0.300000012,0.300000012
42,Pennsylvania,0602,06/15/1994,J,Joint,2,0.400000006,0.899999976
42,Pennsylvania,0605,06/16/1994,C,Crack,6,0,0
42,Pennsylvania,0660,08/04/1992,C,Crack,2,,
42,Pennsylvania,1623,10/19/1993,J,Joint,1,0.800000012,1.200000048
42,Pennsylvania,C410,08/10/1995,J,Joint,2,0.100000001,0.100000001
54,West Virginia,4004,10/26/1995,C,Crack,1,3.599999905,3.599999905
10,Delaware,0206,05/08/1996,J,Joint,1,0.200000003,0
89,Quebec,3002,10/04/1994,J,Joint,1,2.799999952,2.599999905
84,New Brunswick,3803,08/24/1993,J,Joint,2,6.099999905,6.099999905
89,Quebec,3001,07/15/1993,J,Joint,2,2.900000095,2.700000048
34,New Jersey,4042,06/28/1995,J,Joint,2,4.199999809,
9,Connecticut,4008,06/20/1995,C,Crack,1,1,0.699999988
42,Pennsylvania,0605,08/21/1997,C,Crack,6,0,-0.100000001
42,Pennsylvania,0659,08/27/1997,J,Joint,6,2.700000048,3.400000095
42,Pennsylvania,C411,10/01/1997,J,Joint,2,0.200000003,0.300000012
10,Delaware,0202,06/30/1997,J,Joint,1,-0.300000012,0.100000001
