SHRP_ID,STATE_CODE,STATE_CODE_EXP,CONSTRUCTION_NO,LAYER_NO,DESCRIPTION,DESCRIPTION_EXP,LAYER_TYPE,LAYER_TYPE_EXP,REPR_THICKNESS,MATL_CODE_EXP,MATL_CODE,PROJECT_LAYER_CODE,LAYER_COMMENT1,LAYER_COMMENT1_EXP,LAYER_COMMENT2,LAYER_COMMENT2_EXP,LAYER_COMMENT3,LAYER_COMMENT3_EXP,COMMENT_NOTE,INV_LAYER_NO,INV_LAYER_NO_2,RECORD_STATUS
708,27,Minnesota,4,4,3,Original Surface Layer,PC,Portland cement concrete layer,7,Portland Cement Concrete (CRCP),6,D,R,Layer was partially removed by milling.,,,,,,4,,E
708,27,Minnesota,4,5,1,Overlay,PC,Portland cement concrete layer,5.599999905,Portland Cement Concrete (CRCP),6,E,,,,,,,,,,E
6300,27,Minnesota,2,3,3,Original Surface Layer,PC,Portland cement concrete layer,8,Portland Cement Concrete (CRCP),6,,,,,,,,,3,,E
6300,27,Minnesota,2,5,1,Overlay,PC,Portland cement concrete layer,8.100000381,Portland Cement Concrete (JRCP),5,,,,,,,,,5,,E
265,55,Wisconsin,2,4,3,Original Surface Layer,PC,Portland cement concrete layer,11.10000038,Portland Cement Concrete (JPCP),4,L,,,,,,,,,,E
901,55,Wisconsin,3,5,3,Original Surface Layer,PC,Portland cement concrete layer,9,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
901,55,Wisconsin,4,5,3,Original Surface Layer,PC,Portland cement concrete layer,9,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
901,55,Wisconsin,5,5,3,Original Surface Layer,PC,Portland cement concrete layer,9,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
902,55,Wisconsin,3,5,3,Original Surface Layer,PC,Portland cement concrete layer,9.300000191,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
902,55,Wisconsin,4,5,3,Original Surface Layer,PC,Portland cement concrete layer,9.300000191,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
902,55,Wisconsin,5,5,3,Original Surface Layer,PC,Portland cement concrete layer,9.300000191,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
902,55,Wisconsin,6,5,3,Original Surface Layer,PC,Portland cement concrete layer,9.300000191,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
903,55,Wisconsin,3,5,3,Original Surface Layer,PC,Portland cement concrete layer,9.100000381,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
907,55,Wisconsin,3,5,3,Original Surface Layer,PC,Portland cement concrete layer,9,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
907,55,Wisconsin,4,5,3,Original Surface Layer,PC,Portland cement concrete layer,9,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
907,55,Wisconsin,5,5,3,Original Surface Layer,PC,Portland cement concrete layer,9,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
908,55,Wisconsin,3,5,3,Original Surface Layer,PC,Portland cement concrete layer,9,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
908,55,Wisconsin,4,5,3,Original Surface Layer,PC,Portland cement concrete layer,9,Portland Cement Concrete (JRCP),5,H,,,,,,,,4,,E
3802,83,Manitoba,1,4,3,Original Surface Layer,PC,Portland cement concrete layer,9.800000191,Portland Cement Concrete (JPCP),4,,,,,,,,,4,,E
