SHRP_ID,STATE_CODE,STATE_CODE_EXP,VWS_ID,YEAR,MAX_ANN_HUM_AVG,MIN_ANN_HUM_AVG
1011,1,Alabama,011011,1984,89,48
1011,1,Alabama,011011,1985,91,52
1011,1,Alabama,011011,1986,93,48
1011,1,Alabama,011011,1987,92,45
1011,1,Alabama,011011,1988,93,45
1011,1,Alabama,011011,1989,95,53
1011,1,Alabama,011011,1990,93,46
1011,1,Alabama,011011,1991,93,50
1011,1,Alabama,011011,1992,94,51
1011,1,Alabama,011011,1993,94,48
1011,1,Alabama,011011,1994,93,52
1011,1,Alabama,011011,1995,94,50
1011,1,Alabama,011011,1996,92,51
1011,1,Alabama,011011,1997,94,52
1011,1,Alabama,011011,1998,94,51
1011,1,Alabama,011011,1999,92,46
1011,1,Alabama,011011,2000,93,47
1011,1,Alabama,011011,2001,95,51
1011,1,Alabama,011011,2002,94,52
1011,1,Alabama,011011,2003,93,50
1011,1,Alabama,011011,2004,94,52
1011,1,Alabama,011011,2005,91,45
1011,1,Alabama,011011,2006,90,42
1011,1,Alabama,011011,2007,89,42
1011,1,Alabama,011011,2008,89,44
1011,1,Alabama,011011,2009,88,47
1011,1,Alabama,011011,2010,90,43
B350,1,Alabama,011019,1966,0,0
B340,1,Alabama,011019,1966,0,0
B330,1,Alabama,011019,1966,0,0
B320,1,Alabama,011019,1966,0,0
B310,1,Alabama,011019,1966,0,0
1019,1,Alabama,011019,1966,0,0
B350,1,Alabama,011019,1967,0,0
B340,1,Alabama,011019,1967,0,0
B330,1,Alabama,011019,1967,0,0
B320,1,Alabama,011019,1967,0,0
B310,1,Alabama,011019,1967,0,0
1019,1,Alabama,011019,1967,0,0
B350,1,Alabama,011019,1972,0,0
B340,1,Alabama,011019,1972,0,0
B330,1,Alabama,011019,1972,0,0
B320,1,Alabama,011019,1972,0,0
B310,1,Alabama,011019,1972,0,0
1019,1,Alabama,011019,1972,0,0
B350,1,Alabama,011019,1984,87,48
B340,1,Alabama,011019,1984,87,48
B330,1,Alabama,011019,1984,87,48
B320,1,Alabama,011019,1984,87,48
B310,1,Alabama,011019,1984,87,48
1019,1,Alabama,011019,1984,87,48
B350,1,Alabama,011019,1985,89,50
B340,1,Alabama,011019,1985,89,50
B330,1,Alabama,011019,1985,89,50
B320,1,Alabama,011019,1985,89,50
B310,1,Alabama,011019,1985,89,50
1019,1,Alabama,011019,1985,89,50
B350,1,Alabama,011019,1986,96,52
B340,1,Alabama,011019,1986,96,52
B330,1,Alabama,011019,1986,96,52
B320,1,Alabama,011019,1986,96,52
B310,1,Alabama,011019,1986,96,52
1019,1,Alabama,011019,1986,96,52
B350,1,Alabama,011019,1987,95,50
B340,1,Alabama,011019,1987,95,50
B330,1,Alabama,011019,1987,95,50
B320,1,Alabama,011019,1987,95,50
B310,1,Alabama,011019,1987,95,50
1019,1,Alabama,011019,1987,95,50
B350,1,Alabama,011019,1988,95,49
B340,1,Alabama,011019,1988,95,49
B330,1,Alabama,011019,1988,95,49
B320,1,Alabama,011019,1988,95,49
B310,1,Alabama,011019,1988,95,49
1019,1,Alabama,011019,1988,95,49
B350,1,Alabama,011019,1989,95,53
B340,1,Alabama,011019,1989,95,53
B330,1,Alabama,011019,1989,95,53
B320,1,Alabama,011019,1989,95,53
B310,1,Alabama,011019,1989,95,53
1019,1,Alabama,011019,1989,95,53
B350,1,Alabama,011019,1990,94,49
B340,1,Alabama,011019,1990,94,49
B330,1,Alabama,011019,1990,94,49
B320,1,Alabama,011019,1990,94,49
B310,1,Alabama,011019,1990,94,49
1019,1,Alabama,011019,1990,94,49
B350,1,Alabama,011019,1991,94,54
B340,1,Alabama,011019,1991,94,54
B330,1,Alabama,011019,1991,94,54
B320,1,Alabama,011019,1991,94,54
B310,1,Alabama,011019,1991,94,54
1019,1,Alabama,011019,1991,94,54
B350,1,Alabama,011019,1992,95,52
B340,1,Alabama,011019,1992,95,52
B330,1,Alabama,011019,1992,95,52
B320,1,Alabama,011019,1992,95,52
B310,1,Alabama,011019,1992,95,52
1019,1,Alabama,011019,1992,95,52
B350,1,Alabama,011019,1993,95,51
B340,1,Alabama,011019,1993,95,51
B330,1,Alabama,011019,1993,95,51
B320,1,Alabama,011019,1993,95,51
B310,1,Alabama,011019,1993,95,51
1019,1,Alabama,011019,1993,95,51
B350,1,Alabama,011019,1994,96,55
B340,1,Alabama,011019,1994,96,55
B330,1,Alabama,011019,1994,96,55
B320,1,Alabama,011019,1994,96,55
B310,1,Alabama,011019,1994,96,55
B350,1,Alabama,011019,1995,96,52
B340,1,Alabama,011019,1995,96,52
B330,1,Alabama,011019,1995,96,52
B320,1,Alabama,011019,1995,96,52
1019,1,Alabama,011019,1995,96,52
B350,1,Alabama,011019,1996,95,53
B340,1,Alabama,011019,1996,95,53
B330,1,Alabama,011019,1996,95,53
B320,1,Alabama,011019,1996,95,53
1019,1,Alabama,011019,1996,95,53
B350,1,Alabama,011019,1997,95,53
B340,1,Alabama,011019,1997,95,53
B330,1,Alabama,011019,1997,95,53
B310,1,Alabama,011019,1997,95,53
1019,1,Alabama,011019,1997,95,53
B350,1,Alabama,011019,1998,97,56
B340,1,Alabama,011019,1998,97,56
B320,1,Alabama,011019,1998,97,56
B310,1,Alabama,011019,1998,97,56
1019,1,Alabama,011019,1998,97,56
B350,1,Alabama,011019,1999,96,54
B340,1,Alabama,011019,1999,96,54
B320,1,Alabama,011019,1999,96,54
B310,1,Alabama,011019,1999,96,54
1019,1,Alabama,011019,1999,96,54
B350,1,Alabama,011019,2000,95,47
B330,1,Alabama,011019,2000,95,47
B320,1,Alabama,011019,2000,95,47
B310,1,Alabama,011019,2000,95,47
1019,1,Alabama,011019,2000,95,47
B340,1,Alabama,011019,2001,96,53
B330,1,Alabama,011019,2001,96,53
B320,1,Alabama,011019,2001,96,53
B310,1,Alabama,011019,2001,96,53
1019,1,Alabama,011019,2001,96,53
B340,1,Alabama,011019,2002,96,54
B330,1,Alabama,011019,2002,96,54
B320,1,Alabama,011019,2002,96,54
B310,1,Alabama,011019,2002,96,54
6006,82,British Columbia,826006,1979,94,64
6006,82,British Columbia,826006,1980,94,66
6006,82,British Columbia,826006,1981,94,66
6006,82,British Columbia,826006,1982,93,63
6006,82,British Columbia,826006,1983,93,64
6006,82,British Columbia,826006,1984,93,63
6006,82,British Columbia,826006,1985,93,62
6006,82,British Columbia,826006,1986,94,65
6006,82,British Columbia,826006,1987,94,62
6006,82,British Columbia,826006,1988,92,63
6006,82,British Columbia,826006,1989,93,64
6006,82,British Columbia,826006,1990,92,64
6006,82,British Columbia,826006,1991,94,66
6006,82,British Columbia,826006,1992,93,66
6006,82,British Columbia,826006,1993,94,64
6006,82,British Columbia,826006,1994,93,64
6006,82,British Columbia,826006,1995,94,63
6006,82,British Columbia,826006,1996,91,62
6006,82,British Columbia,826006,1997,96,68
6006,82,British Columbia,826006,1998,96,68
6006,82,British Columbia,826006,1999,95,66
6006,82,British Columbia,826006,2000,94,66
6006,82,British Columbia,826006,2001,94,67
6006,82,British Columbia,826006,2002,93,66
6006,82,British Columbia,826006,2003,92,61
6006,82,British Columbia,826006,2004,92,64
6006,82,British Columbia,826006,2005,93,64
6006,82,British Columbia,826006,2006,92,62
6006,82,British Columbia,826006,2007,92,65
6006,82,British Columbia,826006,2008,91,64
6006,82,British Columbia,826006,2009,90,62
6006,82,British Columbia,826006,2010,90,62
6006,82,British Columbia,826006,2011,91,63
6006,82,British Columbia,826006,2012,89,62
0163,1,Alabama,010100,1984,93,44
0162,1,Alabama,010100,1984,93,44
0161,1,Alabama,010100,1984,93,44
0112,1,Alabama,010100,1984,93,44
0111,1,Alabama,010100,1984,93,44
0110,1,Alabama,010100,1984,93,44
0109,1,Alabama,010100,1984,93,44
0108,1,Alabama,010100,1984,93,44
0107,1,Alabama,010100,1984,93,44
0106,1,Alabama,010100,1984,93,44
0105,1,Alabama,010100,1984,93,44
0104,1,Alabama,010100,1984,93,44
0103,1,Alabama,010100,1984,93,44
0102,1,Alabama,010100,1984,93,44
0101,1,Alabama,010100,1984,93,44
0163,1,Alabama,010100,1985,91,46
0162,1,Alabama,010100,1985,91,46
0161,1,Alabama,010100,1985,91,46
0112,1,Alabama,010100,1985,91,46
0111,1,Alabama,010100,1985,91,46
0110,1,Alabama,010100,1985,91,46
0109,1,Alabama,010100,1985,91,46
0108,1,Alabama,010100,1985,91,46
0107,1,Alabama,010100,1985,91,46
0106,1,Alabama,010100,1985,91,46
0105,1,Alabama,010100,1985,91,46
0104,1,Alabama,010100,1985,91,46
0103,1,Alabama,010100,1985,91,46
0102,1,Alabama,010100,1985,91,46
0101,1,Alabama,010100,1985,91,46
0163,1,Alabama,010100,1986,89,42
0162,1,Alabama,010100,1986,89,42
0161,1,Alabama,010100,1986,89,42
0112,1,Alabama,010100,1986,89,42
0111,1,Alabama,010100,1986,89,42
0110,1,Alabama,010100,1986,89,42
0109,1,Alabama,010100,1986,89,42
0108,1,Alabama,010100,1986,89,42
0107,1,Alabama,010100,1986,89,42
0106,1,Alabama,010100,1986,89,42
0105,1,Alabama,010100,1986,89,42
0104,1,Alabama,010100,1986,89,42
0103,1,Alabama,010100,1986,89,42
0102,1,Alabama,010100,1986,89,42
0101,1,Alabama,010100,1986,89,42
0163,1,Alabama,010100,1987,89,41
0162,1,Alabama,010100,1987,89,41
0161,1,Alabama,010100,1987,89,41
0112,1,Alabama,010100,1987,89,41
0111,1,Alabama,010100,1987,89,41
0110,1,Alabama,010100,1987,89,41
0109,1,Alabama,010100,1987,89,41
0108,1,Alabama,010100,1987,89,41
0107,1,Alabama,010100,1987,89,41
0106,1,Alabama,010100,1987,89,41
0105,1,Alabama,010100,1987,89,41
0104,1,Alabama,010100,1987,89,41
0103,1,Alabama,010100,1987,89,41
0102,1,Alabama,010100,1987,89,41
0101,1,Alabama,010100,1987,89,41
0163,1,Alabama,010100,1988,88,41
0162,1,Alabama,010100,1988,88,41
0161,1,Alabama,010100,1988,88,41
0112,1,Alabama,010100,1988,88,41
0111,1,Alabama,010100,1988,88,41
0110,1,Alabama,010100,1988,88,41
0109,1,Alabama,010100,1988,88,41
0108,1,Alabama,010100,1988,88,41
0107,1,Alabama,010100,1988,88,41
0106,1,Alabama,010100,1988,88,41
0105,1,Alabama,010100,1988,88,41
0104,1,Alabama,010100,1988,88,41
0103,1,Alabama,010100,1988,88,41
0102,1,Alabama,010100,1988,88,41
0101,1,Alabama,010100,1988,88,41
0163,1,Alabama,010100,1989,92,48
0161,1,Alabama,010100,1989,92,48
0112,1,Alabama,010100,1989,92,48
0111,1,Alabama,010100,1989,92,48
0110,1,Alabama,010100,1989,92,48
0108,1,Alabama,010100,1989,92,48
0107,1,Alabama,010100,1989,92,48
0106,1,Alabama,010100,1989,92,48
0105,1,Alabama,010100,1989,92,48
0104,1,Alabama,010100,1989,92,48
0102,1,Alabama,010100,1989,92,48
0101,1,Alabama,010100,1989,92,48
0163,1,Alabama,010100,1990,92,44
0162,1,Alabama,010100,1990,92,44
0112,1,Alabama,010100,1990,92,44
0111,1,Alabama,010100,1990,92,44
0110,1,Alabama,010100,1990,92,44
0109,1,Alabama,010100,1990,92,44
0107,1,Alabama,010100,1990,92,44
0106,1,Alabama,010100,1990,92,44
0105,1,Alabama,010100,1990,92,44
0104,1,Alabama,010100,1990,92,44
0103,1,Alabama,010100,1990,92,44
0101,1,Alabama,010100,1990,92,44
0163,1,Alabama,010100,1991,89,47
0162,1,Alabama,010100,1991,89,47
0161,1,Alabama,010100,1991,89,47
0111,1,Alabama,010100,1991,89,47
0110,1,Alabama,010100,1991,89,47
0109,1,Alabama,010100,1991,89,47
0108,1,Alabama,010100,1991,89,47
0107,1,Alabama,010100,1991,89,47
0105,1,Alabama,010100,1991,89,47
0104,1,Alabama,010100,1991,89,47
0103,1,Alabama,010100,1991,89,47
0102,1,Alabama,010100,1991,89,47
0163,1,Alabama,010100,1992,91,45
0162,1,Alabama,010100,1992,91,45
0161,1,Alabama,010100,1992,91,45
0112,1,Alabama,010100,1992,91,45
0111,1,Alabama,010100,1992,91,45
0110,1,Alabama,010100,1992,91,45
0109,1,Alabama,010100,1992,91,45
0108,1,Alabama,010100,1992,91,45
0107,1,Alabama,010100,1992,91,45
0106,1,Alabama,010100,1992,91,45
0105,1,Alabama,010100,1992,91,45
0104,1,Alabama,010100,1992,91,45
0103,1,Alabama,010100,1992,91,45
0102,1,Alabama,010100,1992,91,45
0101,1,Alabama,010100,1992,91,45
0163,1,Alabama,010100,1993,89,43
0162,1,Alabama,010100,1993,89,43
0161,1,Alabama,010100,1993,89,43
0112,1,Alabama,010100,1993,89,43
0111,1,Alabama,010100,1993,89,43
0110,1,Alabama,010100,1993,89,43
0109,1,Alabama,010100,1993,89,43
0108,1,Alabama,010100,1993,89,43
0107,1,Alabama,010100,1993,89,43
0106,1,Alabama,010100,1993,89,43
0105,1,Alabama,010100,1993,89,43
0104,1,Alabama,010100,1993,89,43
0103,1,Alabama,010100,1993,89,43
0102,1,Alabama,010100,1993,89,43
0101,1,Alabama,010100,1993,89,43
0163,1,Alabama,010100,1994,92,49
0162,1,Alabama,010100,1994,92,49
0161,1,Alabama,010100,1994,92,49
0112,1,Alabama,010100,1994,92,49
0111,1,Alabama,010100,1994,92,49
0110,1,Alabama,010100,1994,92,49
0109,1,Alabama,010100,1994,92,49
0108,1,Alabama,010100,1994,92,49
0107,1,Alabama,010100,1994,92,49
0106,1,Alabama,010100,1994,92,49
